theta0,w0,safe
0.3142,5.0684,1
0.3770,5.0684,1
0.4398,5.0684,1
0.5027,5.0684,1
0.5655,5.0684,1
0.6283,5.0684,1
0.6912,5.0684,1
0.7540,5.0684,1
0.8168,5.0684,1
0.8796,5.0684,1
0.9425,5.0684,1
1.0053,5.0684,1
1.0681,5.0684,1
1.1310,5.0684,1
1.1938,5.0684,1
1.2566,5.0684,1
1.3195,5.0684,1
1.3823,5.0684,1
1.4451,5.0684,1
1.5080,5.0684,1
1.5708,5.0684,1
1.6336,5.0684,1
1.6965,5.0684,1
1.7593,5.0684,1
1.8221,5.0684,1
1.8850,5.0684,0
-1.8850,5.2988,0
-1.8221,5.2988,0
-1.7593,5.2988,0
-1.6965,5.2988,0
-1.6336,5.2988,1
-1.5708,5.2988,1
-1.5080,5.2988,1
-1.4451,5.2988,1
-1.3823,5.2988,1
-1.3195,5.2988,1
-1.2566,5.2988,1
-1.1938,5.2988,1
-1.1310,5.2988,1
-1.0681,5.2988,1
-1.0053,5.2988,1
-0.9425,5.2988,1
-0.8796,5.2988,1
-0.8168,5.2988,1
-0.7540,5.2988,1
-0.6912,5.2988,1
-0.6283,5.2988,1
-0.5655,5.2988,1
-0.5027,5.2988,1
-0.4398,5.2988,1
-0.3770,5.2988,1
-0.3142,5.2988,1
-0.2513,5.2988,1
-0.1885,5.2988,1
-0.1257,5.2988,1
-0.0628,5.2988,1
0.0000,5.2988,1
0.0628,5.2988,1
0.1257,5.2988,1
0.1885,5.2988,1
0.2513,5.2988,1
0.3142,5.2988,1
0.3770,5.2988,1
0.4398,5.2988,1
0.5027,5.2988,1
0.5655,5.2988,1
0.6283,5.2988,1
0.6912,5.2988,1
0.7540,5.2988,1
0.8168,5.2988,1
0.8796,5.2988,1
0.9425,5.2988,1
1.0053,5.2988,1
1.0681,5.2988,1
1.1310,5.2988,1
1.1938,5.2988,1
1.2566,5.2988,1
1.3195,5.2988,1
1.3823,5.2988,1
1.4451,5.2988,1
1.5080,5.2988,1
1.5708,5.2988,1
1.6336,5.2988,1
1.6965,5.2988,1
1.7593,5.2988,1
1.8221,5.2988,1
1.8850,5.2988,0
-1.8850,5.5292,0
-1.8221,5.5292,0
-1.7593,5.5292,0
-1.6965,5.5292,0
-1.6336,5.5292,1
-1.5708,5.5292,1
-1.5080,5.5292,1
-1.4451,5.5292,1
-1.3823,5.5292,1
-1.3195,5.5292,1
-1.2566,5.5292,1
-1.1938,5.5292,1
-1.1310,5.5292,1
-1.0681,5.5292,1
-1.0053,5.5292,1
-0.9425,5.5292,1
-0.8796,5.5292,1
-0.8168,5.5292,1
-0.7540,5.5292,1
-0.6912,5.5292,1
-0.6283,5.5292,1
-0.5655,5.5292,1
-0.5027,5.5292,1
-0.4398,5.5292,1
-0.3770,5.5292,1
-0.3142,5.5292,1
-0.2513,5.5292,1
-0.1885,5.5292,1
-0.1257,5.5292,1
-0.0628,5.5292,1
0.0000,5.5292,1
0.0628,5.5292,1
0.1257,5.5292,1
0.1885,5.5292,1
0.2513,5.5292,1
0.3142,5.5292,1
0.3770,5.5292,1
0.4398,5.5292,1
0.5027,5.5292,1
0.5655,5.5292,1
0.6283,5.5292,1
0.6912,5.5292,1
0.7540,5.5292,1
0.8168,5.5292,1
0.8796,5.5292,1
0.9425,5.5292,1
1.0053,5.5292,1
1.0681,5.5292,1
1.1310,5.5292,1
1.1938,5.5292,1
1.2566,5.5292,1
1.3195,5.5292,1
1.3823,5.5292,1
1.4451,5.5292,1
1.5080,5.5292,1
1.5708,5.5292,1
1.6336,5.5292,1
1.6965,5.5292,1
1.7593,5.5292,1
1.8221,5.5292,1
1.8850,5.5292,0
-1.8850,5.7596,0
-1.8221,5.7596,0
-1.7593,5.7596,0
-1.6965,5.7596,0
-1.6336,5.7596,1
-1.5708,5.7596,1
-1.5080,5.7596,1
-1.4451,5.7596,1
-1.3823,5.7596,1
-1.3195,5.7596,1
-1.2566,5.7596,1
-1.1938,5.7596,1
-1.1310,5.7596,1
-1.0681,5.7596,1
-1.0053,5.7596,1
-0.9425,5.7596,1
-0.8796,5.7596,1
-0.8168,5.7596,1
-0.7540,5.7596,1
-0.6912,5.7596,1
-0.6283,5.7596,1
-0.5655,5.7596,1
-0.5027,5.7596,1
-0.4398,5.7596,1
-0.3770,5.7596,1
-0.3142,5.7596,1
-0.2513,5.7596,1
-0.1885,5.7596,1
-0.1257,5.7596,1
-0.0628,5.7596,1
0.0000,5.7596,1
0.0628,5.7596,1
0.1257,5.7596,1
0.1885,5.7596,1
0.2513,5.7596,1
0.3142,5.7596,1
0.3770,5.7596,1
0.4398,5.7596,1
0.5027,5.7596,1
0.5655,5.7596,1
0.6283,5.7596,1
0.6912,5.7596,1
0.7540,5.7596,1
0.8168,5.7596,1
0.8796,5.7596,1
0.9425,5.7596,1
1.0053,5.7596,1
1.0681,5.7596,1
1.1310,5.7596,1
1.1938,5.7596,1
1.2566,5.7596,1
1.3195,5.7596,1
1.3823,5.7596,1
1.4451,5.7596,1
1.5080,5.7596,1
1.5708,5.7596,1
1.6336,5.7596,1
1.6965,5.7596,1
1.7593,5.7596,1
1.8221,5.7596,1
1.8850,5.7596,0
-1.8850,5.9900,0
-1.8221,5.9900,0
-1.7593,5.9900,0
-1.6965,5.9900,0
-1.6336,5.9900,1
-1.5708,5.9900,1
-1.5080,5.9900,1
-1.4451,5.9900,1
-1.3823,5.9900,1
-1.3195,5.9900,1
-1.2566,5.9900,1
-1.1938,5.9900,1
-1.1310,5.9900,1
-1.0681,5.9900,1
-1.0053,5.9900,1
-0.9425,5.9900,1
-0.8796,5.9900,1
-0.8168,5.9900,1
-0.7540,5.9900,1
-0.6912,5.9900,1
-0.6283,5.9900,1
-0.5655,5.9900,1
-0.5027,5.9900,1
-0.4398,5.9900,1
-0.3770,5.9900,1
-0.3142,5.9900,1
-0.2513,5.9900,1
-0.1885,5.9900,1
-0.1257,5.9900,1
-0.0628,5.9900,1
0.0000,5.9900,1
0.0628,5.9900,1
0.1257,5.9900,1
0.1885,5.9900,1
0.2513,5.9900,1
0.3142,5.9900,1
0.3770,5.9900,1
0.4398,5.9900,1
0.5027,5.9900,1
0.5655,5.9900,1
0.6283,5.9900,1
0.6912,5.9900,1
0.7540,5.9900,1
0.8168,5.9900,1
0.8796,5.9900,1
0.9425,5.9900,1
1.0053,5.9900,1
1.0681,5.9900,1
1.1310,5.9900,1
1.1938,5.9900,1
1.2566,5.9900,1
1.3195,5.9900,1
1.3823,5.9900,1
1.4451,5.9900,1
1.5080,5.9900,1
1.5708,5.9900,1
1.6336,5.9900,1
1.6965,5.9900,1
1.7593,5.9900,1
1.8221,5.9900,1
1.8850,5.9900,0
-1.8850,6.2204,0
-1.8221,6.2204,0
-1.7593,6.2204,0
-1.6965,6.2204,0
-1.6336,6.2204,1
-1.5708,6.2204,1
-1.5080,6.2204,1
-1.4451,6.2204,1
-1.3823,6.2204,1
-1.3195,6.2204,1
-1.2566,6.2204,1
-1.1938,6.2204,1
-1.1310,6.2204,1
-1.0681,6.2204,1
-1.0053,6.2204,1
-0.9425,6.2204,1
-0.8796,6.2204,1
-0.8168,6.2204,1
-0.7540,6.2204,1
-0.6912,6.2204,1
-0.6283,6.2204,1
-0.5655,6.2204,1
-0.5027,6.2204,1
-0.4398,6.2204,1
-0.3770,6.2204,1
-0.3142,6.2204,1
-0.2513,6.2204,1
-0.1885,6.2204,1
-0.1257,6.2204,1
-0.0628,6.2204,1
0.0000,6.2204,1
0.0628,6.2204,1
0.1257,6.2204,1
0.1885,6.2204,1
0.2513,6.2204,1
0.3142,6.2204,1
0.3770,6.2204,1
0.4398,6.2204,1
0.5027,6.2204,1
0.5655,6.2204,1
0.6283,6.2204,1
0.6912,6.2204,1
0.7540,6.2204,1
0.8168,6.2204,1
0.8796,6.2204,1
0.9425,6.2204,1
1.0053,6.2204,1
1.0681,6.2204,1
1.1310,6.2204,1
1.1938,6.2204,1
1.2566,6.2204,1
1.3195,6.2204,1
1.3823,6.2204,1
1.4451,6.2204,1
1.5080,6.2204,1
1.5708,6.2204,1
1.6336,6.2204,1
1.6965,6.2204,1
1.7593,6.2204,1
1.8221,6.2204,1
1.8850,6.2204,0
-1.8850,6.4507,0
-1.8221,6.4507,0
-1.7593,6.4507,0
-1.6965,6.4507,0
-1.6336,6.4507,1
-1.5708,6.4507,1
-1.5080,6.4507,1
-1.4451,6.4507,1
-1.3823,6.4507,1
-1.3195,6.4507,1
-1.2566,6.4507,1
-1.1938,6.4507,1
-1.1310,6.4507,1
-1.0681,6.4507,1
-1.0053,6.4507,1
-0.9425,6.4507,1
-0.8796,6.4507,1
-0.8168,6.4507,1
-0.7540,6.4507,1
-0.6912,6.4507,1
-0.6283,6.4507,1
-0.5655,6.4507,1
-0.5027,6.4507,1
-0.4398,6.4507,1
-0.3770,6.4507,1
-0.3142,6.4507,1
-0.2513,6.4507,1
-0.1885,6.4507,1
-0.1257,6.4507,1
-0.0628,6.4507,1
0.0000,6.4507,1
0.0628,6.4507,1
0.1257,6.4507,1
0.1885,6.4507,1
0.2513,6.4507,1
0.3142,6.4507,1
0.3770,6.4507,1
0.4398,6.4507,1
0.5027,6.4507,1
0.5655,6.4507,1
0.6283,6.4507,1
0.6912,6.4507,1
0.7540,6.4507,1
0.8168,6.4507,1
0.8796,6.4507,1
0.9425,6.4507,1
1.0053,6.4507,1
1.0681,6.4507,1
1.1310,6.4507,1
1.1938,6.4507,1
1.2566,6.4507,1
1.3195,6.4507,1
1.3823,6.4507,1
1.4451,6.4507,1
1.5080,6.4507,1
1.5708,6.4507,1
1.6336,6.4507,1
1.6965,6.4507,1
1.7593,6.4507,1
1.8221,6.4507,1
1.8850,6.4507,0
-1.8850,6.6811,0
-1.8221,6.6811,0
-1.7593,6.6811,0
-1.6965,6.6811,0
-1.6336,6.6811,1
-1.5708,6.6811,1
-1.5080,6.6811,1
-1.4451,6.6811,1
-1.3823,6.6811,1
-1.3195,6.6811,1
-1.2566,6.6811,1
-1.1938,6.6811,1
-1.1310,6.6811,1
-1.0681,6.6811,1
-1.0053,6.6811,1
-0.9425,6.6811,1
-0.8796,6.6811,1
-0.8168,6.6811,1
-0.7540,6.6811,1
-0.6912,6.6811,1
-0.6283,6.6811,1
-0.5655,6.6811,1
-0.5027,6.6811,1
-0.4398,6.6811,1
-0.3770,6.6811,1
-0.3142,6.6811,1
-0.2513,6.6811,1
-0.1885,6.6811,1
-0.1257,6.6811,1
-0.0628,6.6811,1
0.0000,6.6811,1
0.0628,6.6811,1
0.1257,6.6811,1
0.1885,6.6811,1
0.2513,6.6811,1
0.3142,6.6811,1
0.3770,6.6811,1
0.4398,6.6811,1
0.5027,6.6811,1
0.5655,6.6811,1
0.6283,6.6811,1
0.6912,6.6811,1
0.7540,6.6811,1
0.8168,6.6811,1
0.8796,6.6811,1
0.9425,6.6811,1
1.0053,6.6811,1
1.0681,6.6811,1
1.1310,6.6811,1
1.1938,6.6811,1
1.2566,6.6811,1
1.3195,6.6811,1
1.3823,6.6811,1
1.4451,6.6811,1
1.5080,6.6811,1
1.5708,6.6811,1
1.6336,6.6811,1
1.6965,6.6811,1
1.7593,6.6811,1
1.8221,6.6811,1
1.8850,6.6811,0
-1.8850,6.9115,0
-1.8221,6.9115,0
-1.7593,6.9115,0
-1.6965,6.9115,0
-1.6336,6.9115,1
-1.5708,6.9115,1
-1.5080,6.9115,1
-1.4451,6.9115,1
-1.3823,6.9115,1
-1.3195,6.9115,1
-1.2566,6.9115,1
-1.1938,6.9115,1
-1.1310,6.9115,1
-1.0681,6.9115,1
-1.0053,6.9115,1
-0.9425,6.9115,1
-0.8796,6.9115,1
-0.8168,6.9115,1
-0.7540,6.9115,1
-0.6912,6.9115,1
-0.6283,6.9115,1
-0.5655,6.9115,1
-0.5027,6.9115,1
-0.4398,6.9115,1
-0.3770,6.9115,1
-0.3142,6.9115,1
-0.2513,6.9115,1
-0.1885,6.9115,1
-0.1257,6.9115,1
-0.0628,6.9115,1
0.0000,6.9115,1
0.0628,6.9115,1
0.1257,6.9115,1
0.1885,6.9115,1
0.2513,6.9115,1
0.3142,6.9115,1
0.3770,6.9115,1
0.4398,6.9115,1
0.5027,6.9115,1
0.5655,6.9115,1
0.6283,6.9115,1
0.6912,6.9115,1
0.7540,6.9115,1
0.8168,6.9115,1
0.8796,6.9115,1
0.9425,6.9115,1
1.0053,6.9115,1
1.0681,6.9115,1
1.1310,6.9115,1
1.1938,6.9115,1
1.2566,6.9115,1
1.3195,6.9115,1
1.3823,6.9115,1
1.4451,6.9115,1
1.5080,6.9115,1
1.5708,6.9115,1
1.6336,6.9115,1
1.6965,6.9115,1
1.7593,6.9115,1
1.8221,6.9115,1
1.8850,6.9115,0
